[Log] Region,Kön,Ålder,Födelseregion,2022M08
1290 Kristianstad,totalt,16-64 år,totalt,3044
1291 Simrishamn,totalt,16-64 år,totalt,303
1292 Ängelholm,totalt,16-64 år,totalt,720
1293 Hässleholm,totalt,16-64 år,totalt,1646
1315 Hylte,totalt,16-64 år,totalt,342
1380 Halmstad,totalt,16-64 år,totalt,2724
1381 Laholm,totalt,16-64 år,totalt,445
1382 Falkenberg,totalt,16-64 år,totalt,884
1383 Varberg,totalt,16-64 år,totalt,757
1384 Kungsbacka,totalt,16-64 år,totalt,846
1401 Härryda,totalt,16-64 år,totalt,502
1402 Partille,totalt,16-64 år,totalt,717
1407 Öckerö,totalt,16-64 år,totalt,135
1415 Stenungsund,totalt,16-64 år,totalt,372
1419 Tjörn,totalt,16-64 år,totalt,146
1421 Orust,totalt,16-64 år,totalt,173
1427 Sotenäs,totalt,16-64 år,totalt,85
1430 Munkedal,totalt,16-64 år,totalt,178
1435 Tanum,totalt,16-64 år,totalt,158
1438 Dals-Ed,totalt,16-64 år,totalt,89
1439 Färgelanda,totalt,16-64 år,totalt,149
1440 Ale,totalt,16-64 år,totalt,482
1441 Lerum,totalt,16-64 år,totalt,602
1442 Vårgårda,totalt,16-64 år,totalt,211
1443 Bollebygd,totalt,16-64 år,totalt,133
1444 Grästorp,totalt,16-64 år,totalt,74
1445 Essunga,totalt,16-64 år,totalt,108
1446 Karlsborg,totalt,16-64 år,totalt,68
1447 Gullspång,totalt,16-64 år,totalt,147
1452 Tranemo,totalt,16-64 år,totalt,161
1460 Bengtsfors,totalt,16-64 år,totalt,256
1461 Mellerud,totalt,16-64 år,totalt,248
1462 Lilla Edet,totalt,16-64 år,totalt,276
1463 Mark,totalt,16-64 år,totalt,503
1465 Svenljunga,totalt,16-64 år,totalt,171
1466 Herrljunga,totalt,16-64 år,totalt,120
1470 Vara,totalt,16-64 år,totalt,276
1471 Götene,totalt,16-64 år,totalt,159
1472 Tibro,totalt,16-64 år,totalt,300
1473 Töreboda,totalt,16-64 år,totalt,220
1480 Göteborg,totalt,16-64 år,totalt,17446
1481 Mölndal,totalt,16-64 år,totalt,1076
1482 Kungälv,totalt,16-64 år,totalt,671
1484 Lysekil,totalt,16-64 år,totalt,255
1485 Uddevalla,totalt,16-64 år,totalt,1539
1486 Strömstad,totalt,16-64 år,totalt,180
1487 Vänersborg,totalt,16-64 år,totalt,1191
1488 Trollhättan,totalt,16-64 år,totalt,2189
1489 Alingsås,totalt,16-64 år,totalt,673
1490 Borås,totalt,16-64 år,totalt,2797
1491 Ulricehamn,totalt,16-64 år,totalt,351
